Suite,Floor,RSF,Available,Floor Plan,Virtual Tour Link
800,8," 7,557 ",Now,Link,No Video available
810A,8," 4,164 ",Now,Link,No Video available
830,8," 3,701 ",Now,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/4379eabc-89a8-4382-a080-69cdbf5af8d5/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1010,10," 3,604 ",Now,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/a53c823d-558e-4b1e-9238-caa473960d4d/3dtour/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1090,10," 10,911 ",1/1/22,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/aab3fb5e-5c53-4a01-9662-c6d7b30ddc73/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1100,11," 39,359 ",8/1/22,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/ff4d9d1a-8ada-4ee3-9c32-89d1f5f3c474/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1200,12," 39,339 ",4/30/22,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/7b53d0f2-6369-40f6-90eb-c424b3b72123/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1420,14," 3,378 ",Now,Link,No Video available
1710,17," 24,437 ",3/1/22,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/d63044c3-a160-4cea-b602-ec2d43020830/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1740,17," 9,544 ",8/1/22,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/e6df14b2-2bb0-431a-a32a-e0807581a89a/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
1820,18," 18,735 ",Now,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/4da21beb-9b80-4103-9b4f-529ef58b0389/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
GR00,GR," 4,000 ",Now,Link,https://marketplace.vts.com/listing/10-exchange-place-jersey-city-nj/c20f7ab7-bb1d-4647-8f5e-96c10e77a79b/3dtour/?utm_source=Landlord%20Marketing&utm_medium=web
GR10,GR," 1,249 ",Now,Link,No Video available
GR60,GR, 931 ,Now,Link,No Video available